"Product ID","Product Name","Product Main image","Product Details Page Link","Product Price(Unit price)",Commission,"Promotion Link(Valid for 15 days)"
1731329,"ZD 1/16 2.4G 4WD Racing ROCKET S16 Drift Brushless Flat Sports Drift RC Car Vehicle Models",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/11/0C/5cc2a9a2-b9b7-4d29-9ea9-ca4f4e557436.jpg,https://www.banggood.com/ZD-1-or-16-2_4G-4WD-Racing-ROCKET-S16-Drift-Brushless-Flat-Sports-Drift-RC-Car-Vehicle-Models-reviews-p1731329.html,US$119.51,US$8.37,https://www.banggood.com/ZD-1-or-16-2_4G-4WD-Racing-ROCKET-S16-Drift-Brushless-Flat-Sports-Drift-RC-Car-Vehicle-Models-p-1731329.html?p=4T181370308054202203&custlinkid=1795015
1736347,"Wltoys 14800 1/14 2.4G Electric Remote Control Bulldozer RC Car Vehicle Models Engineer Truck Toys 7.4v 1500mah",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/FB/F5/5bfe1134-e278-4b43-bbe1-80545cc64022.jpg,https://www.banggood.com/Wltoys-14800-1-or-14-2_4G-Electric-Remote-Control-Bulldozer-RC-Car-Vehicle-Models-Engineer-Truck-Toys-7_4v-1500mah-reviews-p1736347.html,US$261.02,US$18.27,https://www.banggood.com/Wltoys-14800-1-or-14-2_4G-Electric-Remote-Control-Bulldozer-RC-Car-Vehicle-Models-Engineer-Truck-Toys-7_4v-1500mah-p-1736347.html?p=4T181370308054202203&custlinkid=1795016
1738843,"1:10 2.4G 4WD Drift Racing Car High Speed Off Road RC Car With Lamplight 25KM/h For RC Vehicles Model",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/29/4F/3b390c25-b495-46c6-9c68-3857730f0178.jpg,https://www.banggood.com/1-10-2_4G-4WD-Drift-Racing-Car-High-Speed-Off-Road-RC-Car-With-Lamplight-25KM-or-h-For-RC-Vehicles-Model-reviews-p1738843.html,US$68.13,US$4.77,https://www.banggood.com/1-10-2_4G-4WD-Drift-Racing-Car-High-Speed-Off-Road-RC-Car-With-Lamplight-25KM-or-h-For-RC-Vehicles-Model-p-1738843.html?p=4T181370308054202203&custlinkid=1795017
1741348,"Eachine EAT08 1/14 All Terrain RC Car RTR Electric Vehicle with 2.4 GHz Remote Control and LED Lights Off Road RC Crawler 20+ Min Play Great Gifts for Boys Kids and Adults",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/48/DB/1b94101f-63ba-4b0f-8732-8b210334fd2f.jpg,https://www.banggood.com/Eachine-EAT08-1-or-14-All-Terrain-RC-Car-RTR-Electric-Vehicle-with-2_4-GHz-Remote-Control-and-LED-Lights-Off-Road-RC-Crawler-20+-Min-Play-Great-Gifts-for-Boys-Kids-and-Adults-reviews-p1741348.html,US$29.99,US$2.1,https://www.banggood.com/Eachine-EAT08-1-or-14-All-Terrain-RC-Car-RTR-Electric-Vehicle-with-2_4-GHz-Remote-Control-and-LED-Lights-Off-Road-RC-Crawler-20+-Min-Play-Great-Gifts-for-Boys-Kids-and-Adults-p-1741348.html?p=4T181370308054202203&custlinkid=1795018
1782417,"ZD Racing DBX 10 1/10 4WD 2.4G Desert Truck Brushless RC Car High Speed Off Road Vehicle Models 80km/h W/ Swing",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/70/5E/c4972bd0-be94-47e9-aebb-88b6f4ad5f36.jpg,https://www.banggood.com/ZD-Racing-DBX-10-1-or-10-4WD-2_4G-Desert-Truck-Brushless-RC-Car-High-Speed-Off-Road-Vehicle-Models-80km-or-h-W-or-Swing-reviews-p1782417.html,US$263.01,US$18.41,https://www.banggood.com/ZD-Racing-DBX-10-1-or-10-4WD-2_4G-Desert-Truck-Brushless-RC-Car-High-Speed-Off-Road-Vehicle-Models-80km-or-h-W-or-Swing-p-1782417.html?p=4T181370308054202203&custlinkid=1795019
1793287,"JJRC UD2210 1/24 2.4G 4CH Stunt Drift Deformation Rock Crawler Roll 360 Degree Flip Kids Robot RC Car Toys",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/D3/31/c8f1e5d3-f9e0-44a6-a98b-67e205e27ca8.jpg,https://www.banggood.com/JJRC-UD2210-1-or-24-2_4G-4CH-Stunt-Drift-Deformation-Rock-Crawler-Roll-360-Degree-Flip-Kids-Robot-RC-Car-Toys-reviews-p1793287.html,US$30.79,US$2.16,https://www.banggood.com/JJRC-UD2210-1-or-24-2_4G-4CH-Stunt-Drift-Deformation-Rock-Crawler-Roll-360-Degree-Flip-Kids-Robot-RC-Car-Toys-p-1793287.html?p=4T181370308054202203&custlinkid=1795020
1796475,"RBR/C RB F1 F2 1/14 2.4G 4WD RC Car Off Road Crawler Vehicle  Models Full Proportional Control",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/52/27/19df6330-5587-441a-bf91-b8d16cf10449.jpg,https://www.banggood.com/RBR-or-C-RB-F1-F2-1-or-14-2_4G-4WD-RC-Car-Off-Road-Crawler-Vehicle-Models-Full-Proportional-Control-reviews-p1796475.html,"US$43.99 ~ US$48.99",US$3.29,https://www.banggood.com/RBR-or-C-RB-F1-F2-1-or-14-2_4G-4WD-RC-Car-Off-Road-Crawler-Vehicle-Models-Full-Proportional-Control-p-1796475.html?p=4T181370308054202203&custlinkid=1795021
1800930,"Wltoys 104001 RTR 1/10 2.4G 4WD 45km/h RC Car Metal Chassis Vehicles Model 7.4V 2200mAh Off-Road Climbing Truck",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/5B/40/9308cb67-3b4c-4e73-9d68-7783e8c9eb5e.png,https://www.banggood.com/Wltoys-104001-RTR-1-or-10-2_4G-4WD-45km-or-h-RC-Car-Metal-Chassis-Vehicles-Model-7_4V-2200mAh-Off-Road-Climbing-Truck-reviews-p1800930.html,US$189.41,US$13.26,https://www.banggood.com/Wltoys-104001-RTR-1-or-10-2_4G-4WD-45km-or-h-RC-Car-Metal-Chassis-Vehicles-Model-7_4V-2200mAh-Off-Road-Climbing-Truck-p-1800930.html?p=4T181370308054202203&custlinkid=1795022
1807717,"Eachine EAT12 1/28 RC Car 2.4G 35km/h High Speed Waterproof  RTR Off-road RC Vehicle Model for Kids and Beginners",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/27/29/c1a86519-9c9a-4338-a0de-52f7dd54c238.jpg,https://www.banggood.com/Eachine-EAT12-1-or-28-RC-Car-2_4G-35km-or-h-High-Speed-Waterproof-RTR-Off-road-RC-Vehicle-Model-for-Kids-and-Beginners-reviews-p1807717.html,US$15.99,US$1.12,https://www.banggood.com/Eachine-EAT12-1-or-28-RC-Car-2_4G-35km-or-h-High-Speed-Waterproof-RTR-Off-road-RC-Vehicle-Model-for-Kids-and-Beginners-p-1807717.html?p=4T181370308054202203&custlinkid=1795023
1827026,"Flytec V008 High Speed Jet RC Boat 35km/h Vehicle Models 150m Control Distance",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/C5/35/7b4dfc53-f239-4251-a731-34a68cbb05c4.jpg,https://www.banggood.com/Flytec-V008-High-Speed-Jet-RC-Boat-35km-or-h-Vehicle-Models-150m-Control-Distance-reviews-p1827026.html,US$87.77,US$6.14,https://www.banggood.com/Flytec-V008-High-Speed-Jet-RC-Boat-35km-or-h-Vehicle-Models-150m-Control-Distance-p-1827026.html?p=4T181370308054202203&custlinkid=1795024
1828761,"Eachine Rochobby 1/18 2.4G Land Cruiser 80 For TOYOTA Partly Waterproof Crawler Off Road RC Car Vehicle Models RTR Remote Control Car",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/9A/82/3b775ed0-0874-422e-9157-42f07befb039.jpg,https://www.banggood.com/Eachine-Rochobby-1-or-18-2_4G-Land-Cruiser-80-For-TOYOTA-Partly-Waterproof-Crawler-Off-Road-RC-Car-Vehicle-Models-RTR-Remote-Control-Car-reviews-p1828761.html,US$169.99,US$11.9,https://www.banggood.com/Eachine-Rochobby-1-or-18-2_4G-Land-Cruiser-80-For-TOYOTA-Partly-Waterproof-Crawler-Off-Road-RC-Car-Vehicle-Models-RTR-Remote-Control-Car-p-1828761.html?p=4T181370308054202203&custlinkid=1795025
1830098,"Mini RC Submarine 4 Channels Smart Electric Submarine Boat Simulation Remote Control Drone Model Toy For Children",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/B2/E6/4f0d770f-fb4a-4ad4-a534-6d4aabf0f4d7.jpg,https://www.banggood.com/Mini-RC-Submarine-4-Channels-Smart-Electric-Submarine-Boat-Simulation-Remote-Control-Drone-Model-Toy-For-Children-reviews-p1830098.html,US$24.24,US$1.7,https://www.banggood.com/Mini-RC-Submarine-4-Channels-Smart-Electric-Submarine-Boat-Simulation-Remote-Control-Drone-Model-Toy-For-Children-p-1830098.html?p=4T181370308054202203&custlinkid=1795026
1839244,"MNR/C MN 86S 1/12 2.4G Big G500 RC Car RTR Vehicle Models",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/98/01/8ec935b8-915f-4e28-aa2b-ddfa74023a22.jpg,https://www.banggood.com/MNR-or-C-MN-86S-1-or-12-2_4G-Big-G500-RC-Car-RTR-Vehicle-Models-reviews-p1839244.html,"US$115.99 ~ US$140.99",US$9.38,https://www.banggood.com/MNR-or-C-MN-86S-1-or-12-2_4G-Big-G500-RC-Car-RTR-Vehicle-Models-p-1839244.html?p=4T181370308054202203&custlinkid=1795027
1840079,"Orlandoo Hunter OH32M01 KIT 1/32 4WD DIY Unpainted Grey Tractor Full Leaf Spring RC Car Military Truck Vehicles Models",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/1B/39/c0171dd9-dcf7-4b68-8024-164a592b3f53.jpg,https://www.banggood.com/Orlandoo-Hunter-OH32M01-KIT-1-or-32-4WD-DIY-Unpainted-Grey-Tractor-Full-Leaf-Spring-RC-Car-Military-Truck-Vehicles-Models-reviews-p1840079.html,"US$99.00 ~ US$159.00",US$8,https://www.banggood.com/Orlandoo-Hunter-OH32M01-KIT-1-or-32-4WD-DIY-Unpainted-Grey-Tractor-Full-Leaf-Spring-RC-Car-Military-Truck-Vehicles-Models-p-1840079.html?p=4T181370308054202203&custlinkid=1795028
1841187,"Eachine Rochobby 1941 Willys MB 1/12 RC Car RC Off-Road Crawler RTR RC Army Truck  with LED Lights 2-Speed Gearshift and Remote Control",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/15/28/f4e34cca-11df-4e1b-a6e6-ce5b3b5e5d30.png,https://www.banggood.com/Eachine-Rochobby-1941-Willys-MB-1-or-12-RC-Car-RC-Off-Road-Crawler-RTR-RC-Army-Truck-with-LED-Lights-2-Speed-Gearshift-and-Remote-Control-reviews-p1841187.html,US$210.99,US$14.77,https://www.banggood.com/Eachine-Rochobby-1941-Willys-MB-1-or-12-RC-Car-RC-Off-Road-Crawler-RTR-RC-Army-Truck-with-LED-Lights-2-Speed-Gearshift-and-Remote-Control-p-1841187.html?p=4T181370308054202203&custlinkid=1795029
